Email,Filename,Rating,original Rating
1,mty1.jpg,4,
2,mty1.jpg,4,4
3,mty1.jpg,5,
4,mty1.jpg,3,
5,mty1.jpg,4,
6,mty1.jpg,4,
7,mty1.jpg,4,
8,mty1.jpg,4,
9,mty1.jpg,3,
10,mty1.jpg,4,
11,mty1.jpg,4,
12,mty1.jpg,4,
13,mty1.jpg,4,4
14,mty1.jpg,4,
15,mty1.jpg,3,
16,mty1.jpg,4,
17,mty1.jpg,5,
18,mty1.jpg,5,
19,mty1.jpg,3,
20,mty1.jpg,5,
21,mty1.jpg,4,
22,mty1.jpg,4,
23,mty1.jpg,4,
24,mty1.jpg,4,
25,mty1.jpg,5,
26,mty1.jpg,4,
27,mty1.jpg,5,
28,mty1.jpg,3,
29,mty1.jpg,5,
30,mty1.jpg,3,
31,mty1.jpg,4,
32,mty1.jpg,3,4
33,mty1.jpg,2,
34,mty1.jpg,4,
35,mty1.jpg,4,
36,mty1.jpg,5,
37,mty1.jpg,4,3
38,mty1.jpg,4,
39,mty1.jpg,3,3
40,mty1.jpg,4,
41,mty1.jpg,4,
42,mty1.jpg,3,
43,mty1.jpg,4,
44,mty1.jpg,5,
45,mty1.jpg,4,
46,mty1.jpg,4,
47,mty1.jpg,4,
48,mty1.jpg,4,
49,mty1.jpg,4,
50,mty1.jpg,5,
51,mty1.jpg,3,
52,mty1.jpg,4,3
53,mty1.jpg,5,
54,mty1.jpg,3,3
55,mty1.jpg,3,
56,mty1.jpg,4,
57,mty1.jpg,4,
58,mty1.jpg,4,
59,mty1.jpg,3,
60,mty1.jpg,5,
1,mty10.jpg,1,
2,mty10.jpg,1,1
3,mty10.jpg,1,
4,mty10.jpg,1,
5,mty10.jpg,1,
6,mty10.jpg,1,
7,mty10.jpg,2,
8,mty10.jpg,1,
9,mty10.jpg,1,
10,mty10.jpg,2,
11,mty10.jpg,1,
12,mty10.jpg,1,
13,mty10.jpg,2,1
14,mty10.jpg,2,
15,mty10.jpg,1,
16,mty10.jpg,1,
17,mty10.jpg,2,
18,mty10.jpg,1,
19,mty10.jpg,1,
20,mty10.jpg,1,
21,mty10.jpg,1,
22,mty10.jpg,1,
23,mty10.jpg,1,
24,mty10.jpg,1,
25,mty10.jpg,1,
26,mty10.jpg,1,
27,mty10.jpg,3,
28,mty10.jpg,1,
29,mty10.jpg,1,
30,mty10.jpg,1,
31,mty10.jpg,1,
32,mty10.jpg,1,1
33,mty10.jpg,1,
34,mty10.jpg,1,
35,mty10.jpg,1,
36,mty10.jpg,1,
37,mty10.jpg,1,2
38,mty10.jpg,1,
39,mty10.jpg,1,1
40,mty10.jpg,1,
41,mty10.jpg,1,
42,mty10.jpg,1,
43,mty10.jpg,1,
44,mty10.jpg,1,
45,mty10.jpg,1,
46,mty10.jpg,1,
47,mty10.jpg,2,
48,mty10.jpg,1,
49,mty10.jpg,1,
50,mty10.jpg,1,
51,mty10.jpg,1,
52,mty10.jpg,2,2
53,mty10.jpg,2,
54,mty10.jpg,1,2
55,mty10.jpg,1,
56,mty10.jpg,1,
57,mty10.jpg,1,
58,mty10.jpg,1,
59,mty10.jpg,1,
60,mty10.jpg,1,
1,mty100.jpg,1,
2,mty100.jpg,3,3
3,mty100.jpg,1,
4,mty100.jpg,1,
5,mty100.jpg,2,
6,mty100.jpg,2,
7,mty100.jpg,3,
8,mty100.jpg,3,
9,mty100.jpg,2,
10,mty100.jpg,2,
11,mty100.jpg,3,
12,mty100.jpg,1,
13,mty100.jpg,3,3
14,mty100.jpg,2,
15,mty100.jpg,2,
16,mty100.jpg,1,
17,mty100.jpg,3,
18,mty100.jpg,2,
19,mty100.jpg,2,
20,mty100.jpg,2,
21,mty100.jpg,3,
22,mty100.jpg,3,
23,mty100.jpg,2,
24,mty100.jpg,1,
25,mty100.jpg,3,
26,mty100.jpg,3,
27,mty100.jpg,2,
28,mty100.jpg,2,
